time_step,step_idx,x,y,cur_x,cur_y
39,2,0.0677571,0.00193147,0.0144612,0.000124284
39,3,0.0943344,0.00411292,0.0144612,0.000124284
39,4,0.120828,0.00714357,0.0144612,0.000124284
39,5,0.147212,0.0110203,0.0144612,0.000124284
39,6,0.173457,0.0157392,0.0144612,0.000124284
39,7,0.199539,0.0212954,0.0144612,0.000124284
39,8,0.225429,0.0276833,0.0144612,0.000124284
39,9,0.251102,0.0348962,0.0144612,0.000124284
39,10,0.276531,0.0429268,0.0144612,0.000124284
40,0,0.0151965,0.000137444,0.0151965,0.000137444
40,1,0.0418584,0.000639192,0.0151965,0.000137444
40,2,0.0684906,0.00199372,0.0151965,0.000137444
40,3,0.0950659,0.00419964,0.0151965,0.000137444
40,4,0.121557,0.0072547,0.0151965,0.000137444
40,5,0.147937,0.0111558,0.0151965,0.000137444
40,6,0.174178,0.0158988,0.0151965,0.000137444
40,7,0.200255,0.0214791,0.0151965,0.000137444
40,8,0.226139,0.0278907,0.0151965,0.000137444
40,9,0.251805,0.0351273,0.0151965,0.000137444
40,10,0.277226,0.0431813,0.0151965,0.000137444
41,0,0.015951,0.000151644,0.015951,0.000151644
41,1,0.0426125,0.000678556,0.015951,0.000151644
41,2,0.0692434,0.00205822,0.015951,0.000151644
41,3,0.0958166,0.00428922,0.015951,0.000151644
41,4,0.122305,0.00736928,0.015951,0.000151644
41,5,0.148681,0.0112952,0.015951,0.000151644
41,6,0.174918,0.0160631,0.015951,0.000151644
41,7,0.200989,0.0216679,0.015951,0.000151644
41,8,0.226867,0.028104,0.015951,0.000151644
41,9,0.252526,0.0353648,0.015951,0.000151644
41,10,0.27794,0.0434428,0.015951,0.000151644
42,0,0.0167247,0.000166934,0.0167247,0.000166934
42,1,0.0433856,0.000719612,0.0167247,0.000166934
42,2,0.0700152,0.00212501,0.0167247,0.000166934
42,3,0.0965862,0.00438169,0.0167247,0.000166934
42,4,0.123071,0.00748735,0.0167247,0.000166934
42,5,0.149444,0.0114388,0.0167247,0.000166934
42,6,0.175676,0.016232,0.0167247,0.000166934
42,7,0.201742,0.021862,0.0167247,0.000166934
42,8,0.227614,0.0283231,0.0167247,0.000166934
42,9,0.253266,0.0356087,0.0167247,0.000166934
42,10,0.278672,0.0437112,0.0167247,0.000166934
43,0,0.0175173,0.000183363,0.0175173,0.000183363
43,1,0.0441776,0.000762402,0.0175173,0.000183363
43,2,0.0708058,0.00219413,0.0175173,0.000183363
43,3,0.0973746,0.00447708,0.0175173,0.000183363
43,4,0.123857,0.00760892,0.0175173,0.000183363
43,5,0.150225,0.0115864,0.0175173,0.000183363
43,6,0.176453,0.0164056,0.0175173,0.000183363
43,7,0.202513,0.0220614,0.0175173,0.000183363
43,8,0.228378,0.028548,0.0175173,0.000183363
